id,section,difficulty,topic,question,A,B,C,D,answer
TCS_APT_209,Numerical Ability,EASY,Boats and Streams,"A boat speed is 12 km/h, stream speed is 3 km/h. Speed upstream?",9 km/h,15 km/h,10 km/h,8 km/h,A
TCS_APT_210,Numerical Ability,HARD,Boats and Streams,A man rows 18 km downstream in 2h and 12 km upstream in 3h. Speed of current?,1.5 km/h,2 km/h,1 km/h,3 km/h,A
TCS_APT_211,Numerical Ability,HARD,Boats and Streams,A boat goes 30 km upstream in 5h and 30 km downstream in 3h. Find boat speed in still water.,8 km/h,7 km/h,6 km/h,10 km/h,A
TCS_APT_213,Numerical Ability,HARD,Boats and Streams,A person can row at 8 km/h in still water. River flows at 2 km/h. Time to row 15 km downstream and return?,4.5 hours,3.75 hours,4 hours,5 hours,B
TCS_APT_212,Numerical Ability,MEDIUM,Boats and Streams,Speed of boat in still water is 10 km/h and stream speed is 2 km/h. Time to cover 48 km downstream?,4 hours,5 hours,6 hours,3 hours,A
TCS_APT_195,Numerical Ability,EASY,Calendars,"If 15th August 1947 was Friday, what day was 14th August 1947?",Thursday,Saturday,Wednesday,Tuesday,A
TCS_APT_193,Numerical Ability,HARD,Calendars,"January 1, 2000 was Saturday. What day was January 1, 2001?",Monday,Sunday,Tuesday,Wednesday,A
TCS_APT_194,Numerical Ability,HARD,Calendars,How many odd days are there in 100 years?,5,1,3,7,A
TCS_APT_196,Numerical Ability,HARD,Calendars,What day of week was 1st January 2020?,Wednesday,Thursday,Tuesday,Friday,A
TCS_APT_198,Numerical Ability,HARD,Calendars,"A month has exactly 5 Sundays. If the month starts on Sunday, the month has:",31 days,28 days,30 days,Can be 30 or 31,D
TCS_APT_491,Numerical Ability,HARD,Calendars,"January 1, 2024 was Monday. What day was March 1, 2024?",Friday,Thursday,Saturday,Wednesday,A
TCS_APT_492,Numerical Ability,HARD,Calendars,Which year between 1990 and 2000 had the same calendar as 1990?,1996,1995,1997,1998,A
TCS_APT_189,Numerical Ability,HARD,Clocks,"At 3:40, the angle between clock hands is:",130°,140°,120°,150°,A
TCS_APT_191,Numerical Ability,HARD,Clocks,What is the angle between clock hands at 6:30?,15°,0°,30°,45°,A
TCS_APT_192,Numerical Ability,HARD,Clocks,A clock gains 5 minutes every hour. In how many hours will it show 1 hour ahead?,12 hours,10 hours,15 hours,8 hours,A
TCS_APT_488,Numerical Ability,HARD,Clocks,At what time between 4 and 5 o'clock are clock hands coincident?,4:21.8 min,4:20 min,4:22 min,4:23 min,A
TCS_APT_489,Numerical Ability,HARD,Clocks,How many times in a day do clock hands form a right angle?,44,48,22,24,A
TCS_APT_190,Numerical Ability,MEDIUM,Clocks,How many times do clock hands coincide in 12 hours?,11,12,10,13,A
TCS_APT_051,Numerical Ability,HARD,Compound Interest,What is the difference between SI and CI on Rs.8000 at 5% for 2 years?,Rs.20,Rs.10,Rs.25,Rs.30,A
TCS_APT_053,Numerical Ability,HARD,Compound Interest,Find the amount on Rs.2000 at 10% p.a. compounded annually for 3 years.,Rs.2662,Rs.2600,Rs.2700,Rs.2640,A
TCS_APT_054,Numerical Ability,HARD,Compound Interest,The difference between CI and SI on Rs.5000 for 2 years at 4% is:,Rs.8,Rs.10,Rs.12,Rs.6,A
TCS_APT_058,Numerical Ability,HARD,Compound Interest,"If a sum doubles in 5 years at SI, in how many years will it double at CI (approx)?",4.2 years,5 years,3.8 years,6 years,A
TCS_APT_426,Numerical Ability,HARD,Compound Interest,CI on Rs.8000 at 15% for 2 years 4 months (compounded annually) is:,Rs.3109,Rs.3000,Rs.2800,Rs.3200,A
TCS_APT_427,Numerical Ability,HARD,Compound Interest,The effective annual rate of 12% compounded semi-annually is approximately:,12.36%,12%,11.5%,13%,A
TCS_APT_428,Numerical Ability,HARD,Compound Interest,"If the difference between SI and CI for 2 years at 10% is Rs.100, the principal is:",Rs.10000,Rs.8000,Rs.12000,Rs.9000,A
TCS_APT_049,Numerical Ability,MEDIUM,Compound Interest,Compound interest on Rs.1000 at 10% p.a. for 2 years (compounded annually) is:,Rs.210,Rs.200,Rs.250,Rs.220,A
TCS_APT_050,Numerical Ability,MEDIUM,Compound Interest,Find CI on Rs.5000 at 8% p.a. for 2 years compounded annually.,Rs.832,Rs.800,Rs.850,Rs.900,A
TCS_APT_052,Numerical Ability,MEDIUM,Compound Interest,A sum becomes Rs.1331 in 3 years at 10% compounded annually. Find the sum.,Rs.1000,Rs.1100,Rs.1200,Rs.900,A
TCS_APT_055,Numerical Ability,MEDIUM,Compound Interest,At what rate of CI will Rs.1000 become Rs.1331 in 3 years?,10%,11%,12%,9%,A
TCS_APT_480,Numerical Ability,EASY,Data Interpretation,"A table shows sales: Jan=40, Feb=35, Mar=45, Apr=50. Average monthly sales?",42.5,40,45,47.5,A
TCS_APT_481,Numerical Ability,EASY,Data Interpretation,"In a pie chart, if a sector represents 25%, its central angle is:",90°,72°,45°,120°,A
TCS_APT_484,Numerical Ability,EASY,Data Interpretation,"If total expenses in a pie chart are Rs.12000 and food sector is 30%, food expense is:",Rs.3600,Rs.4000,Rs.3000,Rs.2400,A
TCS_APT_485,Numerical Ability,EASY,Data Interpretation,"A histogram shows frequency: 0-10: 5, 10-20: 8, 20-30: 12, 30-40: 7. Mode class interval:",20-30,10-20,30-40,0-10,A
TCS_APT_482,Numerical Ability,MEDIUM,Data Interpretation,"Bar chart shows production: 2020=500, 2021=600, 2022=750. % increase from 2020 to 2022?",50%,40%,60%,55%,A
TCS_APT_483,Numerical Ability,MEDIUM,Data Interpretation,Line graph: profit was Rs.40L in 2019 and Rs.52L in 2021. What is the % increase?,30%,25%,20%,35%,A
TCS_APT_487,Numerical Ability,MEDIUM,Data Interpretation,From a table: Company A revenue grew from 200 to 350 Cr. Growth rate?,75%,70%,65%,80%,A
TCS_APT_174,Numerical Ability,EASY,HCF and LCM,Find HCF of 36 and 48.,12,6,24,18,A
TCS_APT_175,Numerical Ability,EASY,HCF and LCM,Find LCM of 12 and 18.,36,24,72,48,A
TCS_APT_181,Numerical Ability,HARD,HCF and LCM,"Find HCF of 0.12, 0.18, and 0.24.",0.06,0.12,0.03,0.18,A
TCS_APT_183,Numerical Ability,HARD,HCF and LCM,"Two bells ring every 18 and 24 minutes. If they ring together at 9 AM, when will they next ring together?",10:12 AM,9:42 AM,10:00 AM,9:48 AM,A
TCS_APT_176,Numerical Ability,MEDIUM,HCF and LCM,Product of HCF and LCM of 15 and 25 is:,375,250,125,500,A
TCS_APT_179,Numerical Ability,MEDIUM,HCF and LCM,"Three ropes of lengths 36m, 48m, and 60m are to be cut into equal pieces. Maximum piece length?",12m,6m,18m,24m,A
TCS_APT_180,Numerical Ability,MEDIUM,HCF and LCM,"The HCF of two numbers is 12 and their LCM is 144. If one number is 48, find the other.",36,24,48,60,A
TCS_APT_182,Numerical Ability,MEDIUM,HCF and LCM,"The least number exactly divisible by 12, 15, 18 is:",180,120,90,150,A
TCS_APT_509,Numerical Ability,EASY,Logarithms,log(100) = ? (base 10),2,10,1,100,A
TCS_APT_513,Numerical Ability,EASY,Logarithms,"If log2(64) = x, find x.",6,8,4,5,A
TCS_APT_515,Numerical Ability,HARD,Logarithms,"If log(2) = 0.301 and log(3) = 0.477, find log(12).",1.079,1.1,1.05,1.2,A
TCS_APT_516,Numerical Ability,HARD,Logarithms,The value of log2(8) × log3(9)?,6,4,8,9,A
TCS_APT_514,Numerical Ability,MEDIUM,Logarithms,"log(x2) = 2log(x). If x = 100 (base 10), log(x2) = ?",4,2,6,8,A
TCS_APT_517,Numerical Ability,MEDIUM,Logarithms,Change of base formula: loga(b) = ?,log(b)/log(a),log(a)/log(b),log(a+b),log(ab),A
TCS_APT_518,Numerical Ability,MEDIUM,Logarithms,"If log(x) = −2 (base 10), then x = ?",0.01,0.1,100,−100,A
TCS_APT_124,Numerical Ability,EASY,Mensuration,Area of a rectangle with length 12 cm and breadth 8 cm.,96 cm2,80 cm2,72 cm2,100 cm2,A
TCS_APT_125,Numerical Ability,EASY,Mensuration,Perimeter of a square with side 9 cm.,36 cm,40 cm,32 cm,27 cm,A
TCS_APT_126,Numerical Ability,EASY,Mensuration,Area of a triangle with base 10 cm and height 6 cm.,30 cm2,60 cm2,20 cm2,40 cm2,A
TCS_APT_127,Numerical Ability,EASY,Mensuration,Volume of a cube with side 4 cm.,64 cm3,32 cm3,48 cm3,16 cm3,A
TCS_APT_132,Numerical Ability,EASY,Mensuration,Diagonal of a rectangle 8 × 6 cm.,10 cm,12 cm,8 cm,14 cm,A
TCS_APT_465,Numerical Ability,EASY,Mensuration,Area of rhombus with diagonals 10cm and 24cm.,120 cm2,100 cm2,140 cm2,150 cm2,A
TCS_APT_466,Numerical Ability,EASY,Mensuration,Total surface area of cube with side 5cm.,150 cm2,125 cm2,100 cm2,175 cm2,A
TCS_APT_503,Numerical Ability,EASY,Mensuration,"In a right triangle, if hypotenuse = 13 and one leg = 5, the other leg is:",12,10,11,8,A
TCS_APT_504,Numerical Ability,EASY,Mensuration,The sum of interior angles of a hexagon is:,720°,540°,630°,810°,A
TCS_APT_505,Numerical Ability,EASY,Mensuration,"If a triangle has sides 3, 4, 5 - its area is:",6,8,10,12,A
TCS_APT_506,Numerical Ability,EASY,Mensuration,The angle in a semicircle is always:,90°,60°,180°,45°,A
TCS_APT_138,Numerical Ability,HARD,Mensuration,Area of equilateral triangle with side 6 cm.,9√3 cm2,6√3 cm2,18 cm2,12 cm2,A
TCS_APT_469,Numerical Ability,HARD,Mensuration,Area of path 3.5m wide around a rectangular field 50×40m (path inside).,623 m2,574 m2,651 m2,600 m2,B
TCS_APT_507,Numerical Ability,HARD,Mensuration,"If the perimeter of a square equals the circumference of a circle (π=22/7), ratio of areas (square:circle)?",11:14,22:7,7:11,14:11,A
TCS_APT_508,Numerical Ability,HARD,Mensuration,Volume of hemisphere with radius 6cm (π=3.14)?,452.16 cm3,400 cm3,500 cm3,600 cm3,A
TCS_APT_131,Numerical Ability,MEDIUM,Mensuration,A room 5m × 4m × 3m. Area of 4 walls is:,54 m2,60 m2,48 m2,70 m2,A
TCS_APT_133,Numerical Ability,MEDIUM,Mensuration,"If the radius of a circle is doubled, its area becomes:",4 times,2 times,8 times,3 times,A
TCS_APT_462,Numerical Ability,MEDIUM,Mensuration,"Area of trapezium with parallel sides 8cm and 12cm, height 5cm?",50 cm2,40 cm2,60 cm2,45 cm2,A
TCS_APT_467,Numerical Ability,MEDIUM,Mensuration,"If side of square is increased by 10%, area increases by:",21%,20%,22%,10%,A
TCS_APT_468,Numerical Ability,MEDIUM,Mensuration,"A cylinder has same radius and height. If radius doubles, volume becomes:",4 times,2 times,8 times,6 times,A
TCS_APT_184,Numerical Ability,HARD,Mixtures,"A mixture of milk and water in ratio 3:1. To make ratio 3:2, how much water should be added to 20L?",4 L,5 L,6 L,3 L,B
TCS_APT_185,Numerical Ability,HARD,Mixtures,A 40L mixture has 30% alcohol. How much water must be added to make alcohol 20%?,20 L,25 L,15 L,10 L,A
TCS_APT_186,Numerical Ability,HARD,Mixtures,"By rule of alligation, in what ratio must 5% and 20% acid solutions be mixed to get 10% solution?",2:1,1:2,3:1,1:1,A
TCS_APT_187,Numerical Ability,HARD,Mixtures,"A vessel contains 60L of juice. 12L is drawn and replaced with water, then 12L again drawn and replaced. Final juice amount:",38.4 L,40 L,36 L,42 L,A
TCS_APT_188,Numerical Ability,HARD,Mixtures,"Two varieties of rice, Rs.8/kg and Rs.12/kg, are mixed in ratio 3:2. Selling price for 20% profit:",Rs.11.52/kg,Rs.12/kg,Rs.10.5/kg,Rs.13/kg,A
TCS_APT_140,Numerical Ability,EASY,Number Series,"Find the next: 1, 4, 9, 16, 25, ___",36,30,49,42,A
TCS_APT_142,Numerical Ability,EASY,Number Series,"Find the next: 1, 1, 2, 3, 5, 8, ___",13,11,14,10,A
TCS_APT_144,Numerical Ability,EASY,Number Series,"Find the next: 5, 10, 20, 40, 80, ___",160,120,140,200,A
TCS_APT_150,Numerical Ability,EASY,Number Series,"Find the next: 2, 4, 8, 16, 32, 64, ___",128,100,120,96,A
TCS_APT_152,Numerical Ability,EASY,Number Series,"Find the next: 1, 3, 6, 10, 15, ___",21,18,24,20,A
TCS_APT_143,Numerical Ability,HARD,Number Series,"Find the next: 2, 5, 11, 23, 47, ___",95,90,100,85,A
TCS_APT_146,Numerical Ability,HARD,Number Series,"Find the next: 100, 98, 94, 88, 80, ___",70,72,74,68,A
TCS_APT_153,Numerical Ability,HARD,Number Series,"Find the missing: 6, 11, 21, 36, 56, ___",81,80,82,75,A
TCS_APT_139,Numerical Ability,MEDIUM,Number Series,"Find the next: 2, 6, 12, 20, 30, ___",42,36,44,38,A
TCS_APT_141,Numerical Ability,MEDIUM,Number Series,"Find the next: 3, 6, 11, 18, 27, ___",38,40,42,36,A
TCS_APT_148,Numerical Ability,MEDIUM,Number Series,"Find the next: 7, 11, 13, 17, 19, ___",23,21,25,22,A
TCS_APT_149,Numerical Ability,MEDIUM,Number Series,"Find the missing: 4, 16, 36, __, 100",64,49,81,25,A
TCS_APT_476,Numerical Ability,EASY,Number Systems,What is 1 + 2 + 3 + ... + 100?,5050,4950,5000,5100,A
TCS_APT_470,Numerical Ability,HARD,Number Systems,What is the HCF of (a2-b2) and (a3-b3)?,a2-b2,a-b,a3-b3,a+b,A
TCS_APT_472,Numerical Ability,HARD,Number Systems,What is the remainder when 2^100 is divided by 3?,1,2,0,Cannot determine,A
TCS_APT_475,Numerical Ability,HARD,Number Systems,Largest 5-digit number divisible by both 8 and 15?,99960,99900,99840,99990,A
TCS_APT_479,Numerical Ability,HARD,Number Systems,What is the LCM of 2^4 × 32 and 22 × 33?,2^4 × 33,2^4 × 32,22 × 33,2^6 × 3^5,A
TCS_APT_471,Numerical Ability,MEDIUM,Number Systems,Sum of digits of number divisible by 9: 7__4 (2-digit blank). Find blank.,7,8,6,9,B
TCS_APT_473,Numerical Ability,MEDIUM,Number Systems,How many prime numbers exist between 1 and 50?,15,12,10,18,A
TCS_APT_477,Numerical Ability,MEDIUM,Number Systems,Sum of 12 + 22 + 32 + ... + 102?,385,360,400,350,A
TCS_APT_004,Numerical Ability,EASY,Percentages,"If 60% of a number is 96, what is the number?",160,140,180,120,A
TCS_APT_007,Numerical Ability,EASY,Percentages,A student scored 72 out of 120. What percentage did the student score?,60%,55%,65%,70%,A
TCS_APT_008,Numerical Ability,EASY,Percentages,"If the population of a town increased from 50000 to 55000, what is the percentage increase?",10%,5%,15%,8%,A
TCS_APT_020,Numerical Ability,EASY,Percentages,"In a class of 100 students, 40 are girls. What percentage are boys?",60%,40%,50%,70%,A
TCS_APT_407,Numerical Ability,EASY,Percentages,"In a test of 80 marks, a student scored 70%. What was the score?",56,60,52,64,A
TCS_APT_409,Numerical Ability,EASY,Percentages,A trader mixes 80L pure milk with 20L water. What % of the mixture is milk?,80%,75%,85%,90%,A
TCS_APT_010,Numerical Ability,HARD,Percentages,"If A is 20% more than B, then B is what percent less than A?",16.67%,20%,18%,25%,A
TCS_APT_011,Numerical Ability,HARD,Percentages,"In an examination, 70% of students passed in English and 65% in Maths. If 40% passed in both, what percentage failed in both?",5%,10%,15%,25%,A
TCS_APT_014,Numerical Ability,HARD,Percentages,A product costs Rs.400. Its price is increased by 15% and then decreased by 15%. What is the final price?,Rs.391,Rs.400,Rs.385,Rs.395,A
TCS_APT_015,Numerical Ability,HARD,Percentages,Three candidates contest an election. One gets 45% votes and another gets 35%. The third candidate gets 2400 votes. Find the total votes.,24000,20000,22000,25000,A
TCS_APT_404,Numerical Ability,HARD,Percentages,A shopkeeper offers 2 successive discounts of 10% and 5%. What is the effective discount?,14.5%,15%,13.5%,12%,A
TCS_APT_405,Numerical Ability,HARD,Percentages,"If 75% of a number exceeds 45% by 60, the number is:",200,150,180,250,A
TCS_APT_406,Numerical Ability,HARD,Percentages,A's salary is 20% less than B's. By what percent is B's salary more than A's?,25%,20%,22%,15%,A
TCS_APT_408,Numerical Ability,HARD,Percentages,Price of sugar rises by 25%. By how much % must consumption fall to keep expenditure unchanged?,20%,25%,16.67%,30%,A
TCS_APT_412,Numerical Ability,HARD,Percentages,"A man spends 75% of his income. If his income increases by 20% and he still spends the same amount, what % of new income does he save?",37.5%,30%,25%,40%,A
TCS_APT_413,Numerical Ability,HARD,Percentages,"If the radius of a circle is reduced by 10%, its area is reduced by:",19%,10%,20%,18%,A
TCS_APT_003,Numerical Ability,MEDIUM,Percentages,A number is increased by 20% and then decreased by 20%. What is the net change?,4% decrease,No change,4% increase,2% decrease,A
TCS_APT_005,Numerical Ability,MEDIUM,Percentages,A price is first increased by 10% and then decreased by 10%. The net effect is:,1% decrease,No change,1% increase,2% decrease,A
TCS_APT_009,Numerical Ability,MEDIUM,Percentages,A shopkeeper marks his goods 25% above the cost price and allows a 10% discount. What is his profit percentage?,12.5%,15%,10%,12%,A
TCS_APT_012,Numerical Ability,MEDIUM,Percentages,A number is first increased by 25% and then decreased by 25%. The net change is:,6.25% decrease,No change,6.25% increase,0.25% increase,A
TCS_APT_013,Numerical Ability,MEDIUM,Percentages,"If 25% of x is 75, then what is 40% of x?",120,100,150,110,A
TCS_APT_017,Numerical Ability,MEDIUM,Percentages,A salary is reduced by 20%. By what percentage must it be increased to restore it to original?,25%,20%,22%,24%,A
TCS_APT_019,Numerical Ability,MEDIUM,Percentages,"If A's income is 25% more than B's, by what percent is B's income less than A's?",20%,25%,22%,18%,A
TCS_APT_154,Numerical Ability,EASY,Permutation and Combination,In how many ways can 5 people sit in a row?,120,60,24,100,A
TCS_APT_163,Numerical Ability,EASY,Permutation and Combination,In how many ways can 6 books be arranged on a shelf?,720,360,120,240,A
TCS_APT_157,Numerical Ability,HARD,Permutation and Combination,A committee of 4 is to be chosen from 7 men and 5 women. How many committees have exactly 2 women?,210,120,90,180,A
TCS_APT_158,Numerical Ability,HARD,Permutation and Combination,In how many ways can the letters of MISSISSIPPI be arranged?,34650,25200,30030,40040,A
TCS_APT_159,Numerical Ability,HARD,Permutation and Combination,How many ways can 10 players be divided into 2 teams of 5 each?,126,252,63,504,A
TCS_APT_162,Numerical Ability,HARD,Permutation and Combination,A coin is tossed 5 times. How many outcomes have at least 3 heads?,16,15,20,12,A
TCS_APT_493,Numerical Ability,HARD,Permutation and Combination,In how many ways can MATHS be arranged so M and S are never adjacent?,36,48,60,72,A
TCS_APT_495,Numerical Ability,HARD,Permutation and Combination,"How many 4-digit even numbers can be formed using 1,2,3,4,5 (no repetition)?",48,60,36,72,A
TCS_APT_155,Numerical Ability,MEDIUM,Permutation and Combination,"In how many ways can 3 letters be chosen from A, B, C, D, E?",10,20,60,15,A
TCS_APT_494,Numerical Ability,MEDIUM,Permutation and Combination,Number of ways to form a committee of 3 men and 2 women from 5 men and 4 women?,60,80,90,120,A
TCS_APT_497,Numerical Ability,MEDIUM,Permutation and Combination,Number of diagonals in a hexagon?,9,12,6,15,A
TCS_APT_201,Numerical Ability,HARD,Pipes and Cisterns,"3 pipes can fill a tank in 3, 4, and 6 hours. Opened together, tank fills in:",4/3 hours,2 hours,1.5 hours,3 hours,A
TCS_APT_202,Numerical Ability,HARD,Pipes and Cisterns,"A cistern has two inlets and one outlet. Inlets fill in 8 and 12 hours, outlet drains in 6 hours. Time to fill when all open:",24 hours,12 hours,18 hours,16 hours,A
TCS_APT_203,Numerical Ability,HARD,Pipes and Cisterns,Pipe A fills 1/3 of tank in 5 hours. Pipe B fills rest in 10 hours. Together they fill in:,6 hours,8 hours,5 hours,10 hours,A
TCS_APT_199,Numerical Ability,MEDIUM,Pipes and Cisterns,Pipe A fills a tank in 15 min and Pipe B in 20 min. Both open together fill tank in:,60/7 min,8 min,10 min,12 min,A
TCS_APT_200,Numerical Ability,MEDIUM,Pipes and Cisterns,"A pipe fills a tank in 30 min. A leak empties it in 45 min. With both, tank is full in:",90 min,120 min,60 min,75 min,A
TCS_APT_164,Numerical Ability,EASY,Probability,A card is drawn from a standard deck. Probability of drawing an ace?,1/13,4/52,1/52,4/13,A
TCS_APT_165,Numerical Ability,EASY,Probability,A coin is tossed twice. Probability of getting exactly one head?,1/2,1/4,3/4,2/4,A
TCS_APT_166,Numerical Ability,EASY,Probability,A die is rolled. Probability of getting a prime number?,1/2,1/3,2/3,5/6,A
TCS_APT_170,Numerical Ability,EASY,Probability,Two coins are tossed. Probability of at least one head?,3/4,1/2,1/4,2/3,A
TCS_APT_171,Numerical Ability,EASY,Probability,A box contains 3 white and 5 black balls. Probability of NOT drawing a white ball?,5/8,3/8,1/2,2/5,A
TCS_APT_168,Numerical Ability,HARD,Probability,A bag has 4 red and 6 blue balls. Probability of drawing 2 red balls?,2/15,4/10,1/5,3/15,A
TCS_APT_169,Numerical Ability,HARD,Probability,Probability of getting a king or a spade from a standard deck?,4/13,16/52,17/52,15/52,A
TCS_APT_498,Numerical Ability,HARD,Probability,"From a pack of 52 cards, 3 drawn simultaneously. Probability all 3 are kings?",1/5525,4/52,1/2652,3/52,A
TCS_APT_499,Numerical Ability,HARD,Probability,Probability that a randomly chosen 2-digit number is divisible by 7?,13/90,12/90,14/90,10/90,A
TCS_APT_502,Numerical Ability,HARD,Probability,A bag has 5 red and 3 green balls. 2 drawn without replacement. P(one each)?,15/28,15/32,6/28,12/28,A
TCS_APT_500,Numerical Ability,MEDIUM,Probability,"P(A) = 0.6, P(B) = 0.4, A and B mutually exclusive. P(A∪B)?",1.0,0.24,0.8,0.2,A
TCS_APT_501,Numerical Ability,MEDIUM,Probability,Three unbiased coins tossed. P(at least 2 heads)?,1/2,3/8,5/8,3/4,A
TCS_APT_021,Numerical Ability,EASY,Profit and Loss,A trader buys an article for Rs.400 and sells it for Rs.500. What is his profit percentage?,25%,20%,30%,15%,A
TCS_APT_022,Numerical Ability,EASY,Profit and Loss,A shopkeeper sells an article for Rs.720 at a loss of 10%. What is the cost price?,Rs.800,Rs.900,Rs.700,Rs.750,A
TCS_APT_024,Numerical Ability,EASY,Profit and Loss,"If cost price is Rs.500 and selling price is Rs.450, what is the loss percentage?",10%,8%,12%,15%,A
TCS_APT_032,Numerical Ability,EASY,Profit and Loss,"If 5% loss is incurred on selling at Rs.285, what is the cost price?",Rs.300,Rs.280,Rs.320,Rs.310,A
TCS_APT_033,Numerical Ability,EASY,Profit and Loss,A retailer purchased 50 kg of rice at Rs.22/kg and sold it at Rs.25/kg. What is the profit?,Rs.150,Rs.200,Rs.100,Rs.250,A
TCS_APT_034,Numerical Ability,EASY,Profit and Loss,A person bought 20 items at Rs.5 each and sold them all at Rs.6 each. What is the total profit?,Rs.20,Rs.15,Rs.25,Rs.10,A
TCS_APT_036,Numerical Ability,EASY,Profit and Loss,A chair is sold at a loss of 8% for Rs.920. Find the cost price.,Rs.1000,Rs.1100,Rs.900,Rs.1050,A
TCS_APT_025,Numerical Ability,HARD,Profit and Loss,A man sells two items each at Rs.990. He gains 10% on one and loses 10% on the other. What is the overall result?,1% loss,No profit no loss,1% gain,0.5% loss,A
TCS_APT_028,Numerical Ability,HARD,Profit and Loss,"By selling 24 pens for Rs.120, a man gains 20%. How many pens should be sold for Rs.120 to gain 60%?",18,20,16,14,A
TCS_APT_029,Numerical Ability,HARD,Profit and Loss,A trader has a false weight that is 10% less than the standard. What is his actual profit percentage if he sells at cost price?,11.1%,10%,12%,9%,A
TCS_APT_030,Numerical Ability,HARD,Profit and Loss,A person sells 36 oranges for Rs.100 and gains 8%. How many oranges did he buy for Rs.100?,38.88,40,35,37,C
TCS_APT_039,Numerical Ability,HARD,Profit and Loss,"A sells a bicycle to B at 20% profit. B sells it to C at 25% profit. If C paid Rs.3000, what did A pay?",Rs.2000,Rs.2400,Rs.1800,Rs.2200,A
TCS_APT_414,Numerical Ability,HARD,Profit and Loss,A shopkeeper marks up by 40% and gives 15% discount. His profit%?,19%,20%,18%,25%,A
TCS_APT_417,Numerical Ability,HARD,Profit and Loss,A dishonest dealer sells at cost price but uses 900g instead of 1kg. Profit%?,11.11%,10%,9%,12%,A
TCS_APT_418,Numerical Ability,HARD,Profit and Loss,"If 20% loss on selling price equals Rs.50, what is the selling price?",Rs.250,Rs.200,Rs.300,Rs.150,A
TCS_APT_419,Numerical Ability,HARD,Profit and Loss,A man buys two articles for Rs.480 each. He sells one at 25% profit and other at 25% loss. Net result?,Neither profit nor loss,25% profit,25% loss,6.25% loss,D
TCS_APT_421,Numerical Ability,HARD,Profit and Loss,"After allowing a 12% discount on marked price, a shopkeeper still gains 10%. Marked price is what % of CP?",125%,120%,130%,115%,A
TCS_APT_023,Numerical Ability,MEDIUM,Profit and Loss,"An article is sold at a gain of 15%. If the selling price is Rs.460, find the cost price.",Rs.400,Rs.380,Rs.420,Rs.440,A
TCS_APT_027,Numerical Ability,MEDIUM,Profit and Loss,"If a book is sold at Rs.252 and there is a gain of 5%, what is the cost price?",Rs.240,Rs.200,Rs.220,Rs.260,A
TCS_APT_031,Numerical Ability,MEDIUM,Profit and Loss,"By selling an article for Rs.144, a loss of 10% is incurred. To get a profit of 10%, what should be the selling price?",Rs.176,Rs.180,Rs.170,Rs.184,A
TCS_APT_038,Numerical Ability,MEDIUM,Profit and Loss,"A man gains 20% by selling at Rs.720. If he wants a 25% gain, the selling price should be:",Rs.750,Rs.760,Rs.740,Rs.780,A
TCS_APT_097,Numerical Ability,EASY,Ratio and Proportion,"Salaries of A, B, C are in ratio 1:2:3. If salary of C is Rs.12000, what is the average salary?",Rs.8000,Rs.6000,Rs.10000,Rs.4000,A
TCS_APT_092,Numerical Ability,HARD,Ratio and Proportion,The ages of A and B are in ratio 4:5. Six years hence the ratio will be 5:6. Find A's age.,24,20,28,30,A
TCS_APT_093,Numerical Ability,HARD,Ratio and Proportion,"A bag has coins in ratio 2:3:5 for Re.1, 50p, and 25p. Total Rs.114. How many 50p coins?",48,60,36,72,A
TCS_APT_095,Numerical Ability,HARD,Ratio and Proportion,"Two numbers are in ratio 3:5. If 4 is added to each, ratio becomes 2:3. Find the numbers.",12 and 20,15 and 25,9 and 15,6 and 10,A
TCS_APT_096,Numerical Ability,HARD,Ratio and Proportion,"A mixture contains milk and water in ratio 7:3. If 10 litres of water is added, ratio becomes 7:4. Find initial milk.",70 litres,60 litres,80 litres,50 litres,A
TCS_APT_098,Numerical Ability,HARD,Ratio and Proportion,"If 4 is subtracted from each term of ratio 5:8, ratio becomes 1:2. Find original numbers.",5 and 8,10 and 16,15 and 24,4 and 8,A
TCS_APT_444,Numerical Ability,HARD,Ratio and Proportion,"Rs.5400 is divided among A, B, C in ratio 1/2 : 1/3 : 1/4. A's share?",Rs.2400,Rs.1800,Rs.1200,Rs.2000,A
TCS_APT_445,Numerical Ability,HARD,Ratio and Proportion,Two numbers are in ratio 3:4. Their LCM is 180. The numbers are:,45 and 60,36 and 48,60 and 80,54 and 72,A
TCS_APT_446,Numerical Ability,HARD,Ratio and Proportion,"Milk and water in ratio 5:3. If 16L of mixture removed and 16L water added, ratio becomes 3:5. Original quantity?",40 L,32 L,48 L,50 L,A
TCS_APT_447,Numerical Ability,HARD,Ratio and Proportion,"If a:b = 2:3, b:c = 4:5, c:d = 6:7, find a:d.",16:35,2:7,8:15,4:9,A
TCS_APT_089,Numerical Ability,MEDIUM,Ratio and Proportion,"If A:B = 3:4 and B:C = 5:6, what is A:C?",5:8,15:24,3:6,5:6,A
TCS_APT_041,Numerical Ability,EASY,Simple Interest,Simple interest on Rs.2000 at 5% per annum for 3 years is:,Rs.300,Rs.400,Rs.200,Rs.350,A
TCS_APT_042,Numerical Ability,EASY,Simple Interest,"Find principal if SI = Rs.360, rate = 6% p.a., time = 2 years.",Rs.3000,Rs.2500,Rs.3500,Rs.4000,A
